================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          .\med\CS1_39M_PMU_Is.med
Arquivo do sistema:            .\sist\ieee14.cdf
Tolerância entre iteraçoes:    1.00e-005
Limite de iteraçoes:           100

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/19/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1962
Estação:                       W
Identificação:                 IEEE 14 Bus Test Case
Número de barras:              14 
Número de ramos:               20 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
  26    5    2  4   0  0 0.020 01.0  0.00000   -0.01848   -0.01689     -8.603896 
  27    6   11  4   0  0 0.020 01.0  0.00000   +0.03518   +0.03765     +7.021035 
  28    6   12  4   0  0 0.020 01.0  0.00000   +0.02552   +0.02249    -11.873041 
  29    6   13  4   0  0 0.020 01.0  0.00001   +0.07440   +0.07119     -4.314516 
  30    7    8  4   0  0 0.020 01.0  0.00001   -0.16881   -0.16718     -0.965583 
  31    8    7  4   0  0 0.020 01.0  0.00001   +0.17326   +0.17211     -0.663742 
  32    9   10  4   0  0 0.020 01.0  0.00000   +0.04268   +0.04407     +3.256795 
  33    9   14  4   0  0 0.020 01.0  0.00000   +0.03494   +0.03654     +4.579279 
  34   12   13  4   0  0 0.020 01.0  0.00000   +0.00803   +0.00930    +15.815691 
  35    0    3  5   0  0 0.020 01.0  0.00001   +0.05965   +0.06240     +4.610226 
  36    0    6  5   0  0 0.020 01.0  0.00000   +0.05243   +0.05382     +2.651154 
  37    0    9  5   0  0 0.020 01.0  0.00000   -0.17115   -0.17388     +1.595092 
  38    0   10  5   0  0 0.020 01.0  0.00001   -0.05872   -0.06127     +4.342643 
  39    0   13  5   0  0 0.020 01.0  0.00001   -0.06255   -0.06259     +0.063949 
  40    1    5  7   1  0 0.010 01.0  0.00000   +0.71188   +0.71563     +0.526774 
  41    1    2  7   1  0 0.010 01.0  0.00000   +1.47929   +1.48322     +0.265803 
  42    1    5  8   1  0 0.010 01.0  0.00000   -0.03428   -0.03399     -0.845974 
  43    1    2  8   1  0 0.010 01.0  0.00000   +0.19232   +0.19400     +0.873544 
  44    0    1  9   1  0 0.010 01.0  0.00000   +2.19118   +2.19829     +0.324483 
  45    0    1 10   1  0 0.010 01.0  0.00000   +0.15803   +0.15908     +0.664431 
  46    2    1  7   2  0 0.010 01.0  0.00002   -1.47689   -1.46993     -0.471261 
  47    2    5  7   2  0 0.010 01.0  0.00000   +0.39426   +0.39455     +0.073556 
  48    2    3  7   2  0 0.010 01.0  0.00001   +0.69588   +0.69402     -0.267287 
  49    2    4  7   2  0 0.010 01.0  0.00000   +0.53613   +0.53707     +0.175331 
  50    2    1  8   2  0 0.010 01.0  0.00000   -0.13685   -0.13727     +0.306905 
  51    2    3  8   2  0 0.010 01.0  0.00000   -0.09477   -0.09419     -0.612008 
  52    2    4  8   2  0 0.025 01.0  0.00000   -0.03010   -0.02990     -0.664452 
  53    2    5  8   2  0 0.010 01.0  0.00000   -0.04305   -0.04340     +0.813008 
  54    0    2  9   2  0 0.010 01.0  0.00000   +0.14938   +0.14821     -0.783237 
  55    0    2 10   2  0 0.010 01.0  0.00000   -0.30477   -0.30584     +0.351084 
  56    3    2  7   3  0 0.010 01.0  0.00000   -0.68905   -0.68299     -0.879472 
  57    3    4  7   3  0 0.010 01.0  0.00000   -0.23572   -0.23424     -0.627864 
  58    3    2  8   3  0 0.010 01.0  0.00000   +0.13902   +0.13829     -0.525104 
  59    3    4  8   3  0 0.010 01.0  0.00000   +0.00917   +0.00909     -0.872410 
  60    0    3  9   3  0 0.010 01.0  0.00000   -0.92477   -0.91867     -0.659623 
  61    0    3 10   3  0 0.010 01.0  0.00000   +0.14820   +0.14746     -0.499325 
  62    4    5  7   4  0 0.010 01.0  0.00000   -0.62022   -0.62111     +0.143497 
  63    4    9  7   4  0 0.010 01.0  0.00000   +0.15625   +0.15521     -0.665600 
  64    4    3  7   4  0 0.010 01.0  0.00000   +0.23831   +0.23631     -0.839243 
  65    4    7  7   4  0 0.010 01.0  0.00000   +0.28898   +0.28651     -0.854730 
  66    4    2  7   4  0 0.010 01.0  0.00000   -0.53146   -0.53296     +0.282241 
  67    4    5  8   4  0 0.010 01.0  0.00000   -0.04177   -0.04152     -0.598516 
  68    4    9  8   4  0 0.010 01.0  0.00000   -0.02473   -0.02458     -0.606551 
  69    4    7  8   4  0 0.010 01.0  0.00000   +0.04471   +0.04429     -0.939387 
  70    4    2  8   4  0 0.010 01.0  0.00000   +0.06500   +0.06449     -0.784615 
  71    4    3  8   4  0 0.055 01.0  0.00000   +0.00341   +0.00342     +0.293255 
  72    0    4  9   4  0 0.010 01.0  0.00000   -0.46812   -0.46512     -0.640861 
  73    0    4 10   4  0 0.010 01.0  0.00000   +0.04662   +0.04679     +0.364650 
  74    5    6  7   5  0 0.010 01.0  0.00000   +0.40858   +0.40515     -0.839493 
  75    5    2  7   5  0 0.010 01.0  0.00000   -0.38998   -0.39150     +0.389764 
  76    5    4  7   5  0 0.010 01.0  0.00000   +0.62022   +0.61637     -0.620747 
  77    5    1  7   5  0 0.010 01.0  0.00000   -0.70804   -0.71141     +0.475962 
  78    5    1  8   5  0 0.010 01.0  0.00000   +0.08528   +0.08503     -0.293152 
  79    5    2  8   5  0 0.010 01.0  0.00000   +0.07856   +0.07918     +0.789206 
  80    5    4  8   5  0 0.010 01.0  0.00000   +0.04188   +0.04166     -0.525310 
  81    5    6  8   5  0 0.010 01.0  0.00000   -0.18914   -0.19045     +0.692609 
  82    0    5  9   5  0 0.010 01.0  0.00000   -0.06922   -0.06950     +0.404507 
  83    0    5 10   5  0 0.010 01.0  0.00000   +0.01659   +0.01650     -0.542495 
  84    6   13  7   6  0 0.010 01.0  0.00000   +0.14532   +0.14478     -0.371594 
  85    6   12  7   6  0 0.010 01.0  0.00000   +0.06525   +0.06551     +0.398467 
  86    6   11  7   6  0 0.010 01.0  0.00000   +0.05839   +0.05835     -0.068505 
  87    6    5  7   6  0 0.010 01.0  0.00000   -0.38082   -0.38228     +0.383383 
  88    6   13  8   6  0 0.010 01.0  0.00000   -0.10855   -0.10896     +0.377706 
  89    6   12  8   6  0 0.010 01.0  0.00000   -0.04114   -0.04107     -0.170151 
  90    6    5  8   6  0 0.010 01.0  0.00000   +0.17621   +0.17659     +0.215652 
  91    6   11  8   6  0 0.010 01.0  0.00000   -0.04871   -0.04881     +0.205297 
  92    0    6  9   6  0 0.010 01.0  0.00000   -0.11185   -0.11116     -0.616898 
  93    0    6 10   6  0 0.010 01.0  0.00000   -0.02219   -0.02223     +0.180261 
  94    7    4  7   7  0 0.010 01.0  0.00000   -0.28262   -0.28467     +0.725356 
  95    7    8  7   7  0 0.010 01.0  0.00000   +0.03675   +0.03649     -0.707483 
  96    7    9  7   7  0 0.010 01.0  0.00000   +0.24404   +0.24572     +0.688412 
  97    7    4  8   7  0 0.010 01.0  0.00000   -0.04378   -0.04339     -0.890818 
  98    7    9  8   7  0 0.010 01.0  0.00000   -0.11781   -0.11819     +0.322553 
  99    7    8  8   7  0 0.010 01.0  0.00000   +0.15464   +0.15410     -0.349198 
 100    0    7  9   7  0 0.010 01.0  0.00000   -0.00182   -0.00181     -0.549451 
 101    0    7 10   7  0 0.010 01.0  0.00000   -0.00695   -0.00699     +0.575540 
 102    8    7  7   8  0 0.010 01.0  0.00000   -0.03672   -0.03658     -0.381264 
 103    8    7  8   8  0 0.010 01.0  0.00000   -0.15465   -0.15347     -0.763013 
 104    0    8  9   8  0 0.010 01.0  0.00000   -0.03672   -0.03646     -0.708061 
 105    0    8 10   8  0 0.010 01.0  0.00000   -0.15465   -0.15482     +0.109926 
 106    9   10  7   9  0 0.010 01.0  0.00000   +0.03784   +0.03754     -0.792812 
 107    9   14  7   9  0 0.010 01.0  0.00000   +0.07692   +0.07718     +0.338014 
 108    9    4  7   9  0 0.010 01.0  0.00000   -0.15142   -0.15183     +0.270770 
 109    9    7  7   9  0 0.010 01.0  0.00000   -0.24406   -0.24351     -0.225354 
 110    9    4  8   9  0 0.010 01.0  0.00000   +0.02391   +0.02393     +0.083647 
 111    9   10  8   9  0 0.010 01.0  0.00000   -0.05192   -0.05172     -0.385208 
 112    9   14  8   9  0 0.010 01.0  0.00000   -0.05477   -0.05482     +0.091291 
 113    9    7  8   9  0 0.010 01.0  0.00000   +0.11777   +0.11788     +0.093402 
 114    0    9  9   9  0 0.010 01.0  0.00000   -0.28071   -0.28070     -0.003562 
 115    0    9 10   9  0 0.010 01.0  0.00000   +0.03499   +0.03494     -0.142898 
 116   10   11  7  10  0 0.010 01.0  0.00000   -0.03111   -0.03128     +0.546448 
 117   10    9  7  10  0 0.010 01.0  0.00000   -0.03783   -0.03757     -0.687285 
 118   10    9  8  10  0 0.010 01.0  0.00000   +0.05192   +0.05166     -0.500770 
 119   10   11  8  10  0 0.010 01.0  0.00000   +0.02454   +0.02469     +0.611247 
 120    0   10  9  10  0 0.010 01.0  0.00000   -0.06894   -0.06855     -0.565709 
 121    0   10 10  10  0 0.010 01.0  0.00000   +0.07647   +0.07674     +0.353080 
 122   11   10  7  11  0 0.010 01.0  0.00000   +0.03111   +0.03132     +0.675024 
 123   11    6  7  11  0 0.010 01.0  0.00000   -0.05839   -0.05891     +0.890563 
 124   11   10  8  11  0 0.015 01.0  0.00000   -0.02454   -0.02438     -0.651997 
 125   11    6  8  11  0 0.010 01.0  0.00000   +0.04871   +0.04832     -0.800657 
 126    0   11  9  11  0 0.010 01.0  0.00000   -0.02727   -0.02748     +0.770077 
 127    0   11 10  11  0 0.010 01.0  0.00000   +0.02416   +0.02406     -0.413907 
 128   12   13  7  12  0 0.010 01.0  0.00000   +0.01323   +0.01335     +0.907029 
 129   12    6  7  12  0 0.010 01.0  0.00000   -0.06526   -0.06549     +0.352436 
 130   12    6  8  12  0 0.010 01.0  0.00000   +0.04113   +0.04093     -0.486263 
 131   12   13  8  12  0 0.010 01.0  0.00000   -0.01144   -0.01148     +0.349650 
 132    0   12  9  12  0 0.010 01.0  0.00000   -0.05203   -0.05159     -0.845666 
 133    0   12 10  12  0 0.010 01.0  0.00000   +0.02968   +0.02939     -0.977089 
 134   13   12  7  13  0 0.015 01.0  0.00000   -0.01322   -0.01315     -0.529501 
 135   13    6  7  13  0 0.010 01.0  0.00000   -0.14532   -0.14397     -0.928984 
 136   13   14  7  13  0 0.010 01.0  0.00000   +0.04677   +0.04659     -0.384862 
 137   13   14  8  13  0 0.010 01.0  0.00000   -0.02800   -0.02816     +0.571429 
 138   13    6  8  13  0 0.010 01.0  0.00000   +0.10856   +0.10798     -0.534267 
 139   13   12  8  13  0 0.010 01.0  0.00000   +0.01144   +0.01139     -0.437063 
 140    0   13  9  13  0 0.010 01.0  0.00000   -0.11178   -0.11127     -0.456253 
 141    0   13 10  13  0 0.010 01.0  0.00000   +0.09200   +0.09214     +0.152174 
 142   14    9  7  14  0 0.010 01.0  0.00000   -0.07691   -0.07728     +0.481082 
 143   14   13  7  14  0 0.010 01.0  0.00000   -0.04676   -0.04702     +0.556031 
 144   14   13  8  14  0 0.010 01.0  0.00000   +0.02801   +0.02810     +0.321314 
 145   14    9  8  14  0 0.010 01.0  0.00000   +0.05478   +0.05470     -0.146039 
 146    0   14  9  14  0 0.010 01.0  0.00000   -0.12367   -0.12307     -0.485162 
 147    0   14 10  14  0 0.010 01.0  0.00000   +0.08280   +0.08235     -0.543478 
----------------------------------------------------------------------------------
Número de medidores SCADA:     39
Número de PMUs:                14
Número de medidas das PMUs:    108
----------------------------------------------------------------------------------

Matriz de pesos formada com as covariâncias das telemedidas.
Não há medidas de ângulo.
Não há medidores desabilitados.
============= Estado Ref =============== Estado Est ================ TVE =========
Barra     Mod(pu)    Ang(graus)      Mod(pu)   Ang(graus)            (%)         
----------------------------------------------------------------------------------
   1       1.0600         0.00        0.7224         0.00         31.8486 
   2       1.0450        -4.98        0.7095        -7.53         32.3186 
   3       1.0100       -12.73        0.6862       -19.37         33.4458 
   4       1.0180       -10.31        0.6899       -15.74         33.1594 
   5       1.0200        -8.77        0.6900       -13.37         33.0163 
   6       1.0700       -14.22        0.7358       -21.27         32.8559 
   7       1.0620       -13.36        0.7307       -20.12         32.6925 
   8       1.0900       -13.36        0.7506       -20.08         32.6260 
   9       1.0560       -14.94        0.7324       -22.36         32.4787 
  10       1.0510       -15.10        0.7250       -22.65         32.8889 
  11       1.0570       -14.79        0.7279       -22.18         32.9215 
  12       1.0550       -15.08        0.7246       -22.66         33.1761 
  13       1.0500       -15.16        0.7200       -22.83         33.3181 
  14       1.0360       -16.03        0.7085       -24.18         33.7229 
----------------------------------------------------------------------------------
Convergiu em:    5 iteraçoes com TVE medio de    32.8907 
----------------------------------------------------------------------------------
--- RESIDUOS NORMALIZADOS --------------------------------------------------------
--- Fluxo de potencia ativa     --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
   1    1    2  1    +1.5680    +1.5628    +1.0941  +4.6864e-001     38.875 
   3    2    3  1    +0.7330    +0.7339    +0.5080  +2.2590e-001     34.296 
   2    1    5  1    +0.7546    +0.7433    +0.5260  +2.1736e-001     32.685 
   6    5    2  1    -0.4054    -0.4001    -0.2771  -1.2297e-001     28.054 
   4    4    7  1    +0.2813    +0.2823    +0.1879  +9.4362e-002     26.193 
   9    6   13  1    +0.1793    +0.1802    +0.1245  +5.5760e-002     19.034 
   5    4    9  1    +0.1610    +0.1578    +0.1080  +4.9797e-002     17.911 
   7    6   11  1    +0.0734    +0.0760    +0.0463  +2.9753e-002     13.291 
   8    6   12  1    +0.0785    +0.0784    +0.0539  +2.4548e-002     10.889 
  13    9   14  1    +0.0934    +0.0920    +0.0753  +1.6665e-002      7.109 
  14   12   13  1    +0.0166    +0.0206    +0.0117  +8.9231e-003      4.770 
  12    9   10  1    +0.0527    +0.0543    +0.0493  +5.0033e-003      2.390 
  11    8    7  1    +0.0000    -0.0003    +0.0019  -2.1710e-003      1.252 
  10    7    8  1    +0.0000    +0.0003    -0.0019  +2.1510e-003      1.241 
--- Injeção de potencia ativa   --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  15    0    3  2    -0.9441    -0.9452    -0.6387  -3.0645e-001     38.449 
  17    0    9  2    -0.2959    -0.2920    -0.1736  -1.1838e-001     32.311 
  19    0   13  2    -0.1386    -0.1388    -0.0967  -4.2144e-002     15.885 
  16    0    6  2    -0.1102    -0.1099    -0.0725  -3.7403e-002     15.228 
  18    0   10  2    -0.0909    -0.0908    -0.0720  -1.8765e-002      8.032 
--- Fluxo de potencia reativa   --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  31    8    7  4    +0.1733    +0.1721    +0.0847  +8.7446e-002     30.380 
  30    7    8  4    -0.1688    -0.1672    -0.0824  -8.4758e-002     29.785 
  21    1    2  4    -0.2039    -0.2029    -0.1393  -6.3659e-002     20.689 
  26    5    2  4    -0.0185    -0.0169    +0.0200  -3.6938e-002     20.054 
  29    6   13  4    +0.0744    +0.0712    +0.0272  +4.3944e-002     19.940 
  23    2    3  4    +0.0355    +0.0369    +0.0039  +3.3065e-002     16.728 
  27    6   11  4    +0.0352    +0.0377    +0.0075  +3.0110e-002     15.181 
  25    4    9  4    -0.0037    -0.0050    -0.0199  +1.4974e-002      8.479 
  28    6   12  4    +0.0255    +0.0225    +0.0069  +1.5616e-002      8.296 
  24    4    7  4    -0.0975    -0.0937    -0.0780  -1.5666e-002      6.649 
  22    1    5  4    +0.0363    +0.0337    +0.0252  +8.5325e-003      4.359 
  33    9   14  4    +0.0349    +0.0365    +0.0303  +6.2468e-003      3.164 
  34   12   13  4    +0.0080    +0.0093    +0.0036  +5.6585e-003      3.152 
  32    9   10  4    +0.0427    +0.0441    +0.0461  -2.0210e-003      0.998 
--- Injeção de potencia reativa --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  37    0    9  5    -0.1712    -0.1739    +0.0230  -1.9692e-001     68.180 
  35    0    3  5    +0.0597    +0.0624    +0.1248  -6.2411e-002     29.427 
  39    0   13  5    -0.0625    -0.0626    -0.0211  -4.1466e-002     19.319 
  38    0   10  5    -0.0587    -0.0613    -0.0463  -1.4946e-002      6.992 
  36    0    6  5    +0.0524    +0.0538    +0.0488  +5.0258e-003      2.405 
--- Módulo da tensão            --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  20    0    1  6    +1.0600    +1.0556    +0.7224  +3.3318e-001     64.036 
--- Corrente de ramo (real)     --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
 122   11   10  7    +0.0311    +0.0313    +0.0288  +2.5240e-003     29.422 
 116   10   11  7    -0.0311    -0.0313    -0.0288  -2.4840e-003     29.011 
 123   11    6  7    -0.0584    -0.0589    -0.0549  -4.0424e-003     22.415 
  86    6   11  7    +0.0584    +0.0583    +0.0549  +3.4824e-003     19.530 
 143   14   13  7    -0.0468    -0.0470    -0.0449  -2.1635e-003     16.199 
  76    5    4  7    +0.6202    +0.6164    +0.6464  -3.0018e-002     15.257 
 136   13   14  7    +0.0468    +0.0466    +0.0449  +1.7335e-003     13.145 
  62    4    5  7    -0.6202    -0.6211    -0.6464  +2.5278e-002     12.741 
 128   12   13  7    +0.0132    +0.0134    +0.0130  +3.6430e-004     12.567 
 107    9   14  7    +0.0769    +0.0772    +0.0794  -2.2240e-003      9.798 
 142   14    9  7    -0.0769    -0.0773    -0.0794  +2.1240e-003      9.342 
  46    2    1  7    -1.4769    -1.4699    -1.5121  +4.2176e-002      8.813 
  56    3    2  7    -0.6891    -0.6830    -0.7021  +1.9108e-002      8.614 
 106    9   10  7    +0.0378    +0.0375    +0.0383  -7.1881e-004      7.567 
  49    2    4  7    +0.5361    +0.5371    +0.5498  -1.2715e-002      7.259 
 117   10    9  7    -0.0378    -0.0376    -0.0383  +6.8881e-004      7.241 
  66    4    2  7    -0.5315    -0.5330    -0.5450  +1.2062e-002      6.939 
  65    4    7  7    +0.2890    +0.2865    +0.2929  -6.3542e-003      6.863 
  48    2    3  7    +0.6959    +0.6940    +0.7091  -1.5098e-002      6.696 
  63    4    9  7    +0.1563    +0.1552    +0.1585  -3.2919e-003      6.588 
  41    1    2  7    +1.4793    +1.4832    +1.5146  -3.1337e-002      6.487 
 109    9    7  7    -0.2441    -0.2435    -0.2482  +4.6866e-003      6.021 
  47    2    5  7    +0.3943    +0.3946    +0.4018  -7.2304e-003      5.602 
  77    5    1  7    -0.7080    -0.7114    -0.7242  +1.2747e-002      5.476 
  40    1    5  7    +0.7119    +0.7156    +0.7281  -1.2452e-002      5.317 
  75    5    2  7    -0.3900    -0.3915    -0.3974  +5.9116e-003      4.615 
  64    4    3  7    +0.2383    +0.2363    +0.2389  -2.6211e-003      4.113 
 108    9    4  7    -0.1514    -0.1518    -0.1536  +1.7584e-003      3.595 
  85    6   12  7    +0.0653    +0.0655    +0.0648  +6.8285e-004      3.321 
  57    3    4  7    -0.2357    -0.2342    -0.2363  +2.0366e-003      3.236 
 129   12    6  7    -0.0653    -0.0655    -0.0648  -6.6285e-004      3.225 
  96    7    9  7    +0.2440    +0.2457    +0.2482  -2.4766e-003      3.151 
 134   13   12  7    -0.0132    -0.0132    -0.0130  -1.6430e-004      2.912 
  87    6    5  7    -0.3808    -0.3823    -0.3798  -2.5010e-003      2.007 
  94    7    4  7    -0.2826    -0.2847    -0.2864  +1.7512e-003      1.902 
  74    5    6  7    +0.4086    +0.4052    +0.4075  -2.3382e-003      1.772 
 102    8    7  7    -0.0367    -0.0366    -0.0364  -1.6442e-004      1.646 
  84    6   13  7    +0.1453    +0.1448    +0.1442  +5.6903e-004      1.235 
  95    7    8  7    +0.0367    +0.0365    +0.0364  +7.4423e-005      0.748 
 135   13    6  7    -0.1453    -0.1440    -0.1442  +2.4097e-004      0.526 
--- Corrente de ramo (imag)     --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
 118   10    9  8    +0.0519    +0.0517    +0.0838  -3.2118e-002    221.929 
 111    9   10  8    -0.0519    -0.0517    -0.0838  +3.2058e-002    221.151 
 119   10   11  8    +0.0245    +0.0247    +0.0134  +1.1256e-002    170.593 
 145   14    9  8    +0.0548    +0.0547    +0.0774  -2.2679e-002    137.580 
 112    9   14  8    -0.0548    -0.0548    -0.0774  +2.2559e-002    136.486 
 110    9    4  8    +0.0239    +0.0239    +0.0142  +9.7363e-003    131.905 
  68    4    9  8    -0.0247    -0.0246    -0.0146  -9.9323e-003    131.104 
  91    6   11  8    -0.0487    -0.0488    -0.0324  -1.6457e-002    107.980 
  98    7    9  8    -0.1178    -0.1182    -0.0793  -3.8852e-002    107.778 
 113    9    7  8    +0.1178    +0.1179    +0.0793  +3.8542e-002    107.254 
 125   11    6  8    +0.0487    +0.0483    +0.0324  +1.5967e-002    105.978 
  99    7    8  8    +0.1546    +0.1541    +0.1068  +4.7310e-002     98.529 
 124   11   10  8    -0.0245    -0.0244    -0.0134  -1.0946e-002     98.139 
 103    8    7  8    -0.1547    -0.1535    -0.1068  -4.6680e-002     97.674 
  80    5    4  8    +0.0419    +0.0417    +0.0317  +9.9752e-003     82.837 
  67    4    5  8    -0.0418    -0.0415    -0.0317  -9.8352e-003     82.041 
  97    7    4  8    -0.0438    -0.0434    -0.0341  -9.2471e-003     73.481 
  69    4    7  8    +0.0447    +0.0443    +0.0349  +9.3790e-003     73.056 
  81    5    6  8    -0.1891    -0.1905    -0.1475  -4.2999e-002     69.081 
  90    6    5  8    +0.1762    +0.1766    +0.1374  +3.9165e-002     67.875 
  59    3    4  8    +0.0092    +0.0091    +0.0082  +8.5823e-004     62.040 
  71    4    3  8    +0.0034    +0.0034    +0.0002  +3.2585e-003     58.140 
  78    5    1  8    +0.0853    +0.0850    +0.0691  +1.5906e-002     57.975 
  79    5    2  8    +0.0786    +0.0792    +0.0646  +1.4594e-002     57.070 
  70    4    2  8    +0.0650    +0.0645    +0.0535  +1.1008e-002     53.924 
  50    2    1  8    -0.1369    -0.1373    -0.1552  +1.7906e-002     45.985 
  89    6   12  8    -0.0411    -0.0411    -0.0353  -5.8104e-003     44.574 
 130   12    6  8    +0.0411    +0.0409    +0.0353  +5.6704e-003     43.664 
  88    6   13  8    -0.1085    -0.1090    -0.0959  -1.3090e-002     37.046 
 138   13    6  8    +0.1086    +0.1080    +0.0959  +1.2110e-002     34.601 
  58    3    2  8    +0.1390    +0.1383    +0.1288  +9.4502e-003     20.857 
 131   12   13  8    -0.0114    -0.0115    -0.0109  -6.1328e-004     20.711 
  53    2    5  8    -0.0430    -0.0434    -0.0408  -2.5956e-003     19.661 
 139   13   12  8    +0.0114    +0.0114    +0.0109  +5.2328e-004     17.906 
  51    2    3  8    -0.0948    -0.0942    -0.0993  +5.0685e-003     16.765 
  42    1    5  8    -0.0343    -0.0340    -0.0348  +8.4849e-004      8.908 
 137   13   14  8    -0.0280    -0.0282    -0.0276  -5.4075e-004      7.037 
 144   14   13  8    +0.0280    +0.0281    +0.0276  +4.8075e-004      6.276 
  43    1    2  8    +0.1923    +0.1940    +0.1928  +1.1844e-003      1.967 
