================================================================================= 
=== UFF - Doutorado em Computação - Aplicaçoes em Sistemas de Potencia        === 
=== ESTIMADOR DE ESTADO MÍNIMOS QUADRADOS PONDERADOS INCLUINDO MEDIDAS DE PMU === 
=== Desenvolvido por: Rui Menezes de Moraes - 2009                            === 
================================================================================= 
Arquivo de medidores:          .\med\full_pmu_marcio.med
Arquivo do sistema:            .\sist\ieee14.cdf
Tolerância entre iteraçoes:    1.00e-005
Limite de iteraçoes:           10

--- DADOS DA REDE --------------------------------------------------------------- 
Data do caso:                  08/19/93
Origem:                        UW ARCHIVE          
MVA base:                      100
Ano:                           1962
Estação:                       W
Identificação:                 IEEE 14 Bus Test Case
Número de barras:              14 
Número de ramos:               20 
Referência na barra:           1

--- TELEMEDIDAS ------------------------------------------------------------------
    Tipo 1 = Fluxo de potencia ativa        Tipo  6 = Módulo da tensão            
    Tipo 2 = Injeção de potencia ativa      Tipo  7 = Corrente de ramo (real)     
    Tipo 3 = Ângulo de fase da tensão       Tipo  8 = Corrente de ramo (imag)     
    Tipo 4 = Fluxo de potencia reativa      Tipo  9 = Injeção de corrente (real)  
    Tipo 5 = Injeção de potencia reativa    Tipo 10 = Injeção de corrente (imag)  
----------------------------------------------------------------------------------
   N    D    P TP  PN ST   Exa   FS       DP      V_Ref      V_Med          E(%) 
  13    0   13  6  13  0 0.010 01.0  0.00000   +1.05000   +1.05068     +0.064762 
  14    0   14  6  14  0 0.010 01.0  0.00000   +1.03600   +1.03940     +0.328185 
  17    0    3  3   3  0 0.020 01.0  0.00000   -0.22218   -0.22206     -0.054010 
  18    0    4  3   4  0 0.020 01.0  0.00000   -0.17994   -0.17994     +0.000000 
  19    0    5  3   5  0 0.020 01.0  0.00000   -0.15307   -0.15308     +0.006533 
  20    0    6  3   6  0 0.020 01.0  0.00000   -0.24819   -0.24828     +0.036263 
  21    0    7  3   7  0 0.020 01.0  0.00000   -0.23318   -0.23314     -0.017154 
  22    0    8  3   8  0 0.020 01.0  0.00000   -0.23318   -0.23333     +0.064328 
  23    0    9  3   9  0 0.020 01.0  0.00000   -0.26075   -0.26067     -0.030681 
  24    0   10  3  10  0 0.020 01.0  0.00000   -0.26354   -0.26336     -0.068301 
  25    0   11  3  11  0 0.020 01.0  0.00000   -0.25813   -0.25821     +0.030992 
  26    0   12  3  12  0 0.020 01.0  0.00000   -0.26320   -0.26310     -0.037994 
  27    0   13  3  13  0 0.020 01.0  0.00000   -0.26459   -0.26445     -0.052912 
  28    0   14  3  14  0 0.020 01.0  0.00000   -0.27978   -0.27996     +0.064336 
  77    2    1  7   2  0 0.010 01.0  0.00002   -1.47689   -1.46993     -0.471261 
  59    2    3  7   2  0 0.010 01.0  0.00001   +0.69588   +0.69402     -0.267287 
  60    2    4  7   2  0 0.010 01.0  0.00000   +0.53613   +0.53707     +0.175331 
  61    2    5  7   2  0 0.010 01.0  0.00000   +0.39426   +0.39455     +0.073556 
 117    2    1  8   2  0 0.010 01.0  0.00000   -0.13685   -0.13727     +0.306905 
  99    2    3  8   2  0 0.010 01.0  0.00000   -0.09477   -0.09419     -0.612008 
 100    2    4  8   2  0 0.025 01.0  0.00000   -0.03010   -0.02990     -0.664452 
 101    2    5  8   2  0 0.010 01.0  0.00000   -0.04305   -0.04340     +0.813008 
  30    0    2  9   2  0 0.010 01.0  0.00000   +0.14938   +0.14821     -0.783237 
  44    0    2 10   2  0 0.010 01.0  0.00000   -0.30477   -0.30584     +0.351084 
  57    1    2  7   1  0 0.010 01.0  0.00000   +1.47929   +1.48322     +0.265668 
  58    1    5  7   1  0 0.010 01.0  0.00000   +0.71188   +0.71563     +0.526774 
  62    3    4  7   3  0 0.010 01.0  0.00000   -0.23572   -0.23424     -0.627864 
  63    4    5  7   4  0 0.010 01.0  0.00000   -0.62022   -0.62111     +0.143497 
  64    4    7  7   4  0 0.010 01.0  0.00000   +0.28898   +0.28651     -0.854730 
  65    4    9  7   4  0 0.010 01.0  0.00000   +0.15625   +0.15521     -0.665600 
  66    5    6  7   5  0 0.010 01.0  0.00000   +0.40858   +0.40515     -0.839493 
  67    6   11  7   6  0 0.010 01.0  0.00000   +0.05839   +0.05835     -0.068505 
  68    6   12  7   6  0 0.010 01.0  0.00000   +0.06525   +0.06551     +0.398467 
  69    6   13  7   6  0 0.010 01.0  0.00000   +0.14532   +0.14478     -0.371594 
  70    7    8  7   7  0 0.010 01.0  0.00000   +0.03675   +0.03649     -0.707483 
  71    7    9  7   7  0 0.010 01.0  0.00000   +0.24404   +0.24572     +0.688412 
  72    9   10  7   9  0 0.010 01.0  0.00000   +0.03784   +0.03754     -0.792812 
  73    9   14  7   9  0 0.010 01.0  0.00000   +0.07692   +0.07718     +0.338014 
  74   10   11  7  10  0 0.010 01.0  0.00000   -0.03111   -0.03128     +0.546448 
  75   12   13  7  12  0 0.010 01.0  0.00000   +0.01323   +0.01335     +0.907029 
  76   13   14  7  13  0 0.010 01.0  0.00000   +0.04677   +0.04659     -0.384862 
  78    5    1  7   5  0 0.010 01.0  0.00000   -0.70804   -0.71141     +0.475962 
  79    3    2  7   3  0 0.010 01.0  0.00000   -0.68905   -0.68299     -0.879472 
  80    4    2  7   4  0 0.010 01.0  0.00000   -0.53146   -0.53296     +0.282241 
  81    5    2  7   5  0 0.010 01.0  0.00000   -0.38998   -0.39150     +0.389764 
  82    4    3  7   4  0 0.010 01.0  0.00000   +0.23831   +0.23631     -0.839243 
  83    5    4  7   5  0 0.010 01.0  0.00000   +0.62022   +0.61637     -0.620747 
  84    7    4  7   7  0 0.010 01.0  0.00000   -0.28262   -0.28467     +0.725356 
  85    9    4  7   9  0 0.010 01.0  0.00000   -0.15142   -0.15183     +0.270770 
  86    6    5  7   6  0 0.010 01.0  0.00000   -0.38082   -0.38228     +0.383383 
  87   11    6  7  11  0 0.010 01.0  0.00000   -0.05839   -0.05891     +0.890563 
  88   12    6  7  12  0 0.010 01.0  0.00000   -0.06526   -0.06549     +0.352436 
  89   13    6  7  13  0 0.010 01.0  0.00000   -0.14532   -0.14397     -0.928984 
  90    8    7  7   8  0 0.010 01.0  0.00000   -0.03672   -0.03658     -0.381264 
  91    9    7  7   9  0 0.010 01.0  0.00000   -0.24406   -0.24351     -0.225354 
  92   10    9  7  10  0 0.010 01.0  0.00000   -0.03783   -0.03757     -0.687285 
  93   14    9  7  14  0 0.010 01.0  0.00000   -0.07691   -0.07728     +0.481082 
  94   11   10  7  11  0 0.010 01.0  0.00000   +0.03111   +0.03132     +0.675024 
  95   13   12  7  13  0 0.015 01.0  0.00000   -0.01322   -0.01315     -0.529501 
  96   14   13  7  14  0 0.010 01.0  0.00000   -0.04676   -0.04702     +0.556031 
  97    1    2  8   1  0 0.010 01.0  0.00000   +0.19232   +0.19400     +0.873544 
  98    1    5  8   1  0 0.010 01.0  0.00000   -0.03428   -0.03399     -0.845974 
 102    3    4  8   3  0 0.010 01.0  0.00000   +0.00917   +0.00909     -0.872410 
 103    4    5  8   4  0 0.010 01.0  0.00000   -0.04177   -0.04152     -0.598516 
 104    4    7  8   4  0 0.010 01.0  0.00000   +0.04471   +0.04429     -0.939387 
 105    4    9  8   4  0 0.010 01.0  0.00000   -0.02473   -0.02458     -0.606551 
 106    5    6  8   5  0 0.010 01.0  0.00000   -0.18914   -0.19045     +0.692609 
 107    6   11  8   6  0 0.010 01.0  0.00000   -0.04871   -0.04881     +0.205297 
 108    6   12  8   6  0 0.010 01.0  0.00000   -0.04114   -0.04107     -0.170151 
 109    6   13  8   6  0 0.010 01.0  0.00000   -0.10855   -0.10896     +0.377706 
 110    7    8  8   7  0 0.010 01.0  0.00000   +0.15464   +0.15410     -0.349198 
 111    7    9  8   7  0 0.010 01.0  0.00000   -0.11781   -0.11819     +0.322553 
 112    9   10  8   9  0 0.010 01.0  0.00000   -0.05192   -0.05172     -0.385208 
 113    9   14  8   9  0 0.010 01.0  0.00000   -0.05477   -0.05482     +0.091291 
 114   10   11  8  10  0 0.010 01.0  0.00000   +0.02454   +0.02469     +0.611247 
 115   12   13  8  12  0 0.010 01.0  0.00000   -0.01144   -0.01148     +0.349650 
 116   13   14  8  13  0 0.010 01.0  0.00000   -0.02800   -0.02816     +0.571429 
 118    5    1  8   5  0 0.010 01.0  0.00000   +0.08528   +0.08503     -0.293152 
 119    3    2  8   3  0 0.010 01.0  0.00000   +0.13902   +0.13829     -0.525104 
 120    4    2  8   4  0 0.010 01.0  0.00000   +0.06500   +0.06449     -0.784615 
 121    5    2  8   5  0 0.010 01.0  0.00000   +0.07856   +0.07918     +0.789206 
 122    4    3  8   4  0 0.055 01.0  0.00000   +0.00341   +0.00342     +0.293255 
 123    5    4  8   5  0 0.010 01.0  0.00000   +0.04188   +0.04166     -0.525310 
 124    7    4  8   7  0 0.010 01.0  0.00000   -0.04378   -0.04339     -0.890818 
 125    9    4  8   9  0 0.010 01.0  0.00000   +0.02391   +0.02393     +0.083647 
 126    6    5  8   6  0 0.010 01.0  0.00000   +0.17621   +0.17659     +0.215652 
 127   11    6  8  11  0 0.010 01.0  0.00000   +0.04871   +0.04832     -0.800657 
 128   12    6  8  12  0 0.010 01.0  0.00000   +0.04113   +0.04093     -0.486263 
 129   13    6  8  13  0 0.010 01.0  0.00000   +0.10856   +0.10798     -0.534267 
 130    8    7  8   8  0 0.010 01.0  0.00000   -0.15465   -0.15347     -0.763013 
 131    9    7  8   9  0 0.010 01.0  0.00000   +0.11777   +0.11788     +0.093402 
 132   10    9  8  10  0 0.010 01.0  0.00000   +0.05192   +0.05166     -0.500770 
 133   14    9  8  14  0 0.010 01.0  0.00000   +0.05478   +0.05470     -0.146039 
 134   11   10  8  11  0 0.015 01.0  0.00000   -0.02454   -0.02438     -0.651997 
 135   13   12  8  13  0 0.010 01.0  0.00000   +0.01144   +0.01139     -0.437063 
 136   14   13  8  14  0 0.010 01.0  0.00000   +0.02801   +0.02810     +0.321314 
  29    0    1  9   1  0 0.010 01.0  0.00000   +2.19118   +2.19829     +0.324483 
  31    0    3  9   3  0 0.010 01.0  0.00000   -0.92477   -0.91867     -0.659623 
  32    0    4  9   4  0 0.010 01.0  0.00000   -0.46812   -0.46512     -0.640861 
  33    0    5  9   5  0 0.010 01.0  0.00000   -0.06922   -0.06950     +0.404507 
  34    0    6  9   6  0 0.010 01.0  0.00000   -0.11185   -0.11116     -0.616898 
  35    0    7  9   7  0 0.010 01.0  0.00000   -0.00182   -0.00181     -0.549451 
  36    0    8  9   8  0 0.010 01.0  0.00000   -0.03672   -0.03646     -0.708061 
  37    0    9  9   9  0 0.010 01.0  0.00000   -0.22900   -0.22916     +0.069869 
  38    0   10  9  10  0 0.010 01.0  0.00000   -0.06894   -0.06855     -0.565709 
  39    0   11  9  11  0 0.010 01.0  0.00000   -0.02727   -0.02748     +0.770077 
  40    0   12  9  12  0 0.010 01.0  0.00000   -0.05203   -0.05159     -0.845666 
  41    0   13  9  13  0 0.010 01.0  0.00000   -0.11178   -0.11127     -0.456253 
  42    0   14  9  14  0 0.010 01.0  0.00000   -0.12367   -0.12307     -0.485162 
  43    0    1 10   1  0 0.010 01.0  0.00000   +0.15803   +0.15908     +0.664431 
  45    0    3 10   3  0 0.010 01.0  0.00000   +0.14820   +0.14746     -0.499325 
  46    0    4 10   4  0 0.010 01.0  0.00000   +0.04662   +0.04679     +0.364650 
  47    0    5 10   5  0 0.010 01.0  0.00000   +0.01659   +0.01650     -0.542495 
  48    0    6 10   6  0 0.010 01.0  0.00000   -0.02219   -0.02223     +0.180261 
  49    0    7 10   7  0 0.010 01.0  0.00000   -0.00695   -0.00699     +0.575540 
  50    0    8 10   8  0 0.010 01.0  0.00000   -0.15465   -0.15482     +0.109926 
  51    0    9 10   9  0 0.010 01.0  0.00000   +0.22885   +0.22756     -0.563688 
  52    0   10 10  10  0 0.010 01.0  0.00000   +0.07647   +0.07674     +0.353080 
  53    0   11 10  11  0 0.010 01.0  0.00000   +0.02416   +0.02406     -0.413907 
  54    0   12 10  12  0 0.010 01.0  0.00000   +0.02968   +0.02939     -0.977089 
  55    0   13 10  13  0 0.010 01.0  0.00000   +0.09200   +0.09214     +0.152174 
  56    0   14 10  14  0 0.010 01.0  0.00000   +0.08280   +0.08235     -0.543478 
----------------------------------------------------------------------------------
Número de medidores SCADA:     0
Número de PMUs:                14
Número de medidas das PMUs:    136
----------------------------------------------------------------------------------

Matriz de pesos formada com as covariâncias das telemedidas.
Medidas de ângulo: 
Barra: 1
Barra: 2
Barra: 3
Barra: 4
Barra: 5
Barra: 6
Barra: 7
Barra: 8
Barra: 9
Barra: 10
Barra: 11
Barra: 12
Barra: 13
Barra: 14
Não há medidores desabilitados.
============= Estado Ref =============== Estado Est ================ TVE =========
Barra     Mod(pu)    Ang(graus)      Mod(pu)   Ang(graus)            (%)         
----------------------------------------------------------------------------------
   1       1.0600         0.00        1.0584        -0.00          0.1543 
   2       1.0450        -4.98        1.0435        -4.98          0.1475 
   3       1.0100       -12.73        1.0085       -12.72          0.1476 
   4       1.0180       -10.31        1.0165       -10.31          0.1519 
   5       1.0200        -8.77        1.0185        -8.77          0.1510 
   6       1.0700       -14.22        1.0684       -14.23          0.1492 
   7       1.0620       -13.36        1.0603       -13.36          0.1559 
   8       1.0900       -13.36        1.0882       -13.37          0.1635 
   9       1.0560       -14.94        1.0544       -14.94          0.1540 
  10       1.0510       -15.10        1.0494       -15.09          0.1541 
  11       1.0570       -14.79        1.0554       -14.79          0.1507 
  12       1.0550       -15.08        1.0535       -15.07          0.1470 
  13       1.0500       -15.16        1.0484       -15.15          0.1494 
  14       1.0360       -16.03        1.0344       -16.04          0.1556 
----------------------------------------------------------------------------------
Convergiu em:    2 iteraçoes com TVE medio de     0.1523 
----------------------------------------------------------------------------------
--- RESIDUOS NORMALIZADOS --------------------------------------------------------
--- Ângulo de fase da tensão    --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  28    0   14  3    -0.2798    -0.2800    -0.2800  +5.5511e-017      0.000 
  24    0   10  3    -0.2635    -0.2634    -0.2634  -5.5511e-017      0.000 
  20    0    6  3    -0.2482    -0.2483    -0.2483  +5.5511e-017      0.000 
  17    0    3  3    -0.2222    -0.2221    -0.2221  +2.7756e-017      0.000 
  22    0    8  3    -0.2332    -0.2333    -0.2333  -2.7756e-017      0.000 
  27    0   13  3    -0.2646    -0.2645    -0.2645  +0.0000e+000      0.000 
  26    0   12  3    -0.2632    -0.2631    -0.2631  +0.0000e+000      0.000 
  25    0   11  3    -0.2581    -0.2582    -0.2582  +0.0000e+000      0.000 
  23    0    9  3    -0.2607    -0.2607    -0.2607  +0.0000e+000      0.000 
  21    0    7  3    -0.2332    -0.2331    -0.2331  +0.0000e+000      0.000 
  19    0    5  3    -0.1531    -0.1531    -0.1531  +0.0000e+000      0.000 
  18    0    4  3    -0.1799    -0.1799    -0.1799  +0.0000e+000      0.000 
  16    0    2  3    -0.0869    -0.0869    -0.0869  +0.0000e+000      0.000 
  15    0    1  3    +0.0000    -0.0000    -0.0000  +0.0000e+000      0.000 
--- Módulo da tensão            --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
   5    0    5  6    +1.0200    +1.0275    +1.0185  +9.0498e-003      2.670 
  12    0   12  6    +1.0550    +1.0600    +1.0535  +6.5776e-003      1.882 
  10    0   10  6    +1.0510    +1.0439    +1.0494  -5.4818e-003      1.593 
  14    0   14  6    +1.0360    +1.0394    +1.0344  +5.0006e-003      1.459 
   7    0    7  6    +1.0620    +1.0555    +1.0603  -4.8043e-003      1.380 
   3    0    3  6    +1.0100    +1.0040    +1.0085  -4.5046e-003      1.361 
   9    0    9  6    +1.0560    +1.0500    +1.0544  -4.3359e-003      1.252 
   4    0    4  6    +1.0180    +1.0126    +1.0165  -3.8233e-003      1.145 
   1    0    1  6    +1.0600    +1.0556    +1.0584  -2.7744e-003      0.797 
  13    0   13  6    +1.0500    +1.0507    +1.0484  +2.2417e-003      0.647 
   6    0    6  6    +1.0700    +1.0703    +1.0684  +1.8933e-003      0.536 
   8    0    8  6    +1.0900    +1.0898    +1.0882  +1.5541e-003      0.432 
   2    0    2  6    +1.0450    +1.0430    +1.0435  -4.1863e-004      0.122 
  11    0   11  6    +1.0570    +1.0556    +1.0554  +2.1129e-004      0.061 
--- Corrente de ramo (real)     --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  94   11   10  7    +0.0311    +0.0313    +0.0298  +1.5314e-003     17.694 
  74   10   11  7    -0.0311    -0.0313    -0.0298  -1.4914e-003     17.264 
  70    7    8  7    +0.0367    +0.0365    +0.0377  -1.2207e-003     12.213 
  90    8    7  7    -0.0367    -0.0366    -0.0377  +1.1307e-003     11.271 
  92   10    9  7    -0.0378    -0.0376    -0.0366  -9.7902e-004     10.251 
  72    9   10  7    +0.0378    +0.0375    +0.0366  +9.4902e-004      9.950 
  75   12   13  7    +0.0132    +0.0134    +0.0131  +2.4029e-004      8.272 
  76   13   14  7    +0.0468    +0.0466    +0.0476  -9.9919e-004      7.512 
  68    6   12  7    +0.0653    +0.0655    +0.0644  +1.0645e-003      5.150 
  88   12    6  7    -0.0653    -0.0655    -0.0644  -1.0445e-003      5.055 
  96   14   13  7    -0.0468    -0.0470    -0.0476  +5.6919e-004      4.226 
  87   11    6  7    -0.0584    -0.0589    -0.0582  -6.8306e-004      3.770 
  71    7    9  7    +0.2440    +0.2457    +0.2433  +2.4069e-003      3.021 
  69    6   13  7    +0.1453    +0.1448    +0.1434  +1.3424e-003      2.902 
  84    7    4  7    -0.2826    -0.2847    -0.2820  -2.6887e-003      2.891 
  66    5    6  7    +0.4086    +0.4052    +0.4084  -3.2186e-003      2.421 
  73    9   14  7    +0.0769    +0.0772    +0.0777  -5.4265e-004      2.360 
  58    1    5  7    +0.7119    +0.7156    +0.7107  +4.8802e-003      2.072 
  64    4    7  7    +0.2890    +0.2865    +0.2883  -1.8144e-003      1.940 
  79    3    2  7    -0.6891    -0.6830    -0.6873  +4.3076e-003      1.925 
  93   14    9  7    -0.0769    -0.0773    -0.0777  +4.4265e-004      1.922 
  78    5    1  7    -0.7080    -0.7114    -0.7069  -4.4810e-003      1.914 
  81    5    2  7    -0.3900    -0.3915    -0.3894  -2.0909e-003      1.624 
  85    9    4  7    -0.1514    -0.1518    -0.1510  -7.8686e-004      1.590 
  82    4    3  7    +0.2383    +0.2363    +0.2373  -9.7142e-004      1.411 
  80    4    2  7    -0.5315    -0.5330    -0.5306  -2.3625e-003      1.351 
  86    6    5  7    -0.3808    -0.3823    -0.3806  -1.6804e-003      1.339 
  57    1    2  7    +1.4793    +1.4832    +1.4768  +6.4275e-003      1.321 
  65    4    9  7    +0.1563    +0.1552    +0.1559  -6.6528e-004      1.316 
  83    5    4  7    +0.6202    +0.6164    +0.6189  -2.5209e-003      1.266 
  89   13    6  7    -0.1453    -0.1440    -0.1434  -5.3235e-004      1.158 
  63    4    5  7    -0.6202    -0.6211    -0.6189  -2.2191e-003      1.105 
  60    2    4  7    +0.5361    +0.5371    +0.5352  +1.8397e-003      1.044 
  77    2    1  7    -1.4769    -1.4699    -1.4744  +4.4700e-003      0.927 
  95   13   12  7    -0.0132    -0.0132    -0.0131  -4.0293e-005      0.714 
  67    6   11  7    +0.0584    +0.0583    +0.0582  +1.2306e-004      0.687 
  61    2    5  7    +0.3943    +0.3946    +0.3937  +8.8678e-004      0.683 
  62    3    4  7    -0.2357    -0.2342    -0.2347  +4.5563e-004      0.669 
  91    9    7  7    -0.2441    -0.2435    -0.2433  -1.9686e-004      0.249 
  59    2    3  7    +0.6959    +0.6940    +0.6941  -1.2617e-004      0.055 
--- Corrente de ramo (imag)     --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
 135   13   12  8    +0.0114    +0.0114    +0.0116  -1.8868e-004      6.442 
 122    4    3  8    +0.0034    +0.0034    +0.0037  -2.4114e-004      4.271 
 134   11   10  8    -0.0245    -0.0244    -0.0248  +4.3769e-004      3.931 
 102    3    4  8    +0.0092    +0.0091    +0.0090  +5.4862e-005      3.893 
 115   12   13  8    -0.0114    -0.0115    -0.0116  +9.8680e-005      3.325 
 127   11    6  8    +0.0487    +0.0483    +0.0487  -4.2227e-004      2.799 
 106    5    6  8    -0.1891    -0.1905    -0.1888  -1.6573e-003      2.645 
 116   13   14  8    -0.0280    -0.0282    -0.0280  -2.0234e-004      2.626 
 111    7    9  8    -0.1178    -0.1182    -0.1173  -9.1826e-004      2.544 
 120    4    2  8    +0.0650    +0.0645    +0.0650  -5.0743e-004      2.472 
 104    4    7  8    +0.0447    +0.0443    +0.0446  -3.0033e-004      2.337 
 121    5    2  8    +0.0786    +0.0792    +0.0786  +5.9087e-004      2.299 
 129   13    6  8    +0.1086    +0.1080    +0.1087  -7.6679e-004      2.182 
 114   10   11  8    +0.0245    +0.0247    +0.0248  -1.2769e-004      1.944 
 136   14   13  8    +0.0280    +0.0281    +0.0280  +1.4234e-004      1.853 
 100    2    4  8    -0.0301    -0.0299    -0.0303  +4.2492e-004      1.765 
 124    7    4  8    -0.0438    -0.0434    -0.0436  +2.1934e-004      1.741 
 131    9    7  8    +0.1178    +0.1179    +0.1173  +6.0826e-004      1.690 
 113    9   14  8    -0.0548    -0.0548    -0.0546  -2.6520e-004      1.638 
 128   12    6  8    +0.0411    +0.0409    +0.0411  -2.0722e-004      1.586 
 101    2    5  8    -0.0430    -0.0434    -0.0432  -2.0785e-004      1.574 
 132   10    9  8    +0.0519    +0.0517    +0.0519  -2.0892e-004      1.528 
  97    1    2  8    +0.1923    +0.1940    +0.1931  +8.8345e-004      1.467 
  99    2    3  8    -0.0948    -0.0942    -0.0946  +4.4370e-004      1.456 
 119    3    2  8    +0.1390    +0.1383    +0.1389  -6.5329e-004      1.439 
 117    2    1  8    -0.1369    -0.1373    -0.1377  +4.6246e-004      1.177 
  98    1    5  8    -0.0343    -0.0340    -0.0341  +1.0738e-004      1.117 
 126    6    5  8    +0.1762    +0.1766    +0.1760  +6.3524e-004      1.094 
 112    9   10  8    -0.0519    -0.0517    -0.0519  +1.4892e-004      1.087 
 103    4    5  8    -0.0418    -0.0415    -0.0416  +1.2771e-004      1.048 
 133   14    9  8    +0.0548    +0.0547    +0.0546  +1.4520e-004      0.900 
 105    4    9  8    -0.0247    -0.0246    -0.0246  +5.8686e-005      0.790 
 110    7    8  8    +0.1546    +0.1541    +0.1537  +3.7042e-004      0.777 
 125    9    4  8    +0.0239    +0.0239    +0.0239  +5.5113e-005      0.761 
 109    6   13  8    -0.1085    -0.1090    -0.1087  -2.1321e-004      0.601 
 130    8    7  8    -0.1547    -0.1535    -0.1537  +2.5958e-004      0.547 
 108    6   12  8    -0.0411    -0.0411    -0.0411  +6.7216e-005      0.513 
 118    5    1  8    +0.0853    +0.0850    +0.0849  +1.3571e-004      0.493 
 107    6   11  8    -0.0487    -0.0488    -0.0487  -6.7732e-005      0.444 
 123    5    4  8    +0.0419    +0.0417    +0.0416  +1.2287e-005      0.100 
--- Injeção de corrente (real)  --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  35    0    7  9    -0.0018    -0.0018    -0.0010  -8.5262e-004  14545.915 
  39    0   11  9    -0.0273    -0.0275    -0.0284  +9.5832e-004     19.065 
  34    0    6  9    -0.1119    -0.1112    -0.1145  +3.3295e-003     12.988 
  33    0    5  9    -0.0692    -0.0695    -0.0691  -4.2142e-004     12.742 
  36    0    8  9    -0.0367    -0.0365    -0.0377  +1.2507e-003     12.528 
  38    0   10  9    -0.0689    -0.0686    -0.0664  -2.1704e-003     10.532 
  41    0   13  9    -0.1118    -0.1113    -0.1090  -2.3118e-003      7.141 
  42    0   14  9    -0.1237    -0.1231    -0.1253  +2.2418e-003      6.030 
  30    0    2  9    +0.1494    +0.1482    +0.1486  -4.2971e-004      4.752 
  32    0    4  9    -0.4681    -0.4651    -0.4680  +2.8873e-003      2.424 
  40    0   12  9    -0.0520    -0.0516    -0.0513  -2.5426e-004      1.696 
  29    0    1  9    +2.1912    +2.1983    +2.1875  +1.0748e-002      1.488 
  31    0    3  9    -0.9248    -0.9187    -0.9220  +3.3233e-003      1.119 
  37    0    9  9    -0.2290    -0.2292    -0.2284  -7.4835e-004      1.078 
--- Injeção de corrente (imag)  --------------------------------------------------
   N    D    P  TP      Real     Medido   Estimado      Med-Est        rn 
----------------------------------------------------------------------------------
  49    0    7 10    -0.0069    -0.0070    -0.0072  +1.6151e-004    115.265 
  48    0    6 10    -0.0222    -0.0222    -0.0227  +4.4151e-004     19.998 
  47    0    5 10    +0.0166    +0.0165    +0.0163  +1.6154e-004     11.546 
  53    0   11 10    +0.0242    +0.0241    +0.0239  +1.3542e-004      2.932 
  50    0    8 10    -0.1547    -0.1548    -0.1537  -1.0904e-003      2.274 
  54    0   12 10    +0.0297    +0.0294    +0.0296  -1.6854e-004      2.016 
  46    0    4 10    +0.0466    +0.0468    +0.0470  -1.7250e-004      1.691 
